"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020072001005",2020-07-20,2020-08-21,"Japan","3546:JP",1320,"closed",1287,NA,-0.025,2020-08-22
"G2020072101001",2020-07-21,2020-08-19,"Hong Kong","1336:HK",33.35,"closed",34.799999,NA,0.0434782308845576,2020-08-20
"G2020072101002",2020-07-21,2020-08-19,"Hong Kong","1806:HK",3.39,"closed",2.89,NA,-0.147492625368732,2020-08-20
"G2020072101003",2020-07-21,2020-08-19,"Hong Kong","1812:HK",3.6,"closed",3.43,NA,-0.0472222222222222,2020-08-20
"G2020072101004",2020-07-21,2020-08-19,"Hong Kong","317:HK",10.8,"closed",NA,NA,NA,2020-08-20
"G2020072101005",2020-07-21,2020-08-19,"Hong Kong","6178:HK",8.66,"closed",NA,NA,NA,2020-08-20
"G2020072101006",2020-07-21,2020-08-19,"Hong Kong","819:HK",17.12,"closed",NA,NA,NA,2020-08-20
"G2020072101007",2020-07-21,2020-08-24,"Japan","3546:JP",1412,"closed",NA,NA,NA,2020-08-25
"G2020072102001",2020-07-21,2020-08-19,"Germany","CLIQ:GR",10.2,"closed",NA,NA,NA,2020-08-20
"G2020072201001",2020-07-22,2020-08-20,"Hong Kong","1812:HK",3.6,"closed",3.46,NA,-0.038888888888889,2020-08-21
"G2020072201002",2020-07-22,2020-08-20,"Hong Kong","317:HK",11.02,"closed",NA,NA,NA,2020-08-21
"G2020072201003",2020-07-22,2020-08-20,"Hong Kong","6178:HK",9.19,"closed",NA,NA,NA,2020-08-21
"G2020072201004",2020-07-22,2020-08-20,"Hong Kong","819:HK",17.26,"closed",NA,NA,NA,2020-08-21
"G2020072201005",2020-07-22,2020-08-25,"Japan","3546:JP",1376,"live",NA,NA,NA,2020-08-25
"G2020072301001",2020-07-23,2020-08-21,"Hong Kong","317:HK",12.08,"closed",NA,NA,NA,2020-08-22
"G2020072301002",2020-07-23,2020-08-21,"Hong Kong","6178:HK",8.92,"closed",NA,NA,NA,2020-08-22
"G2020072301003",2020-07-23,2020-08-21,"Hong Kong","819:HK",18.1,"closed",NA,NA,NA,2020-08-22
"G2020072401001",2020-07-24,2020-08-24,"Hong Kong","317:HK",13.82,"closed",NA,NA,NA,2020-08-25
"G2020072401002",2020-07-24,2020-08-24,"Hong Kong","819:HK",17.26,"closed",NA,NA,NA,2020-08-25
"G2020072701001",2020-07-27,2020-08-25,"Hong Kong","317:HK",11.28,"live",NA,NA,NA,2020-08-25
"G2020072701002",2020-07-27,2020-08-25,"Hong Kong","819:HK",17.54,"live",NA,NA,NA,2020-08-25
"G2020072701003",2020-07-27,2020-08-26,"Japan","3546:JP",1343,"live",NA,NA,NA,2020-08-25
"G2020072703001",2020-07-27,2020-08-25,"United States","UMC:US",3.87,"live",NA,3.79,-0.020671834625323,2020-08-25
"G2020072801001",2020-07-28,2020-08-26,"Hong Kong","317:HK",10.74,"live",NA,NA,NA,2020-08-25
"G2020072801002",2020-07-28,2020-08-27,"Japan","2790:JP",1756,"live",NA,NA,NA,2020-08-25
"G2020072801003",2020-07-28,2020-08-27,"Japan","3546:JP",1383,"live",NA,NA,NA,2020-08-25
"G2020072801004",2020-07-28,2020-08-27,"Japan","8168:JP",886,"live",NA,NA,NA,2020-08-25
"G2020072801005",2020-07-28,2020-08-27,"Japan","9835:JP",748,"live",NA,NA,NA,2020-08-25
"G2020072803001",2020-07-28,2020-08-26,"United States","UMC:US",3.675,"live",NA,3.79,0.0312925170068028,2020-08-25
"G2020072901001",2020-07-29,2020-08-27,"Hong Kong","317:HK",10.84,"live",NA,NA,NA,2020-08-25
"G2020072901002",2020-07-29,2020-08-28,"Japan","2790:JP",1808,"live",NA,NA,NA,2020-08-25
"G2020072901003",2020-07-29,2020-08-28,"Japan","3546:JP",1395,"live",NA,NA,NA,2020-08-25
"G2020072901004",2020-07-29,2020-08-28,"Japan","8168:JP",937,"live",NA,NA,NA,2020-08-25
"G2020072901005",2020-07-29,2020-08-28,"Japan","9835:JP",739,"live",NA,NA,NA,2020-08-25
"G2020073001001",2020-07-30,2020-08-28,"Hong Kong","317:HK",10.8,"live",NA,NA,NA,2020-08-25
"G2020073001002",2020-07-30,2020-08-31,"Japan","2790:JP",1880,"live",NA,NA,NA,2020-08-25
"G2020073001003",2020-07-30,2020-08-31,"Japan","3546:JP",1475,"live",NA,NA,NA,2020-08-25
"G2020073001004",2020-07-30,2020-08-31,"Japan","4465:JP",3060,"live",NA,NA,NA,2020-08-25
"G2020073001005",2020-07-30,2020-08-31,"Japan","8168:JP",950,"live",NA,NA,NA,2020-08-25
"G2020073001006",2020-07-30,2020-08-31,"Japan","8218:JP",3460,"live",NA,3530,0.0202312138728324,2020-08-25
"G2020073101001",2020-07-31,2020-08-31,"Hong Kong","317:HK",10.46,"live",NA,NA,NA,2020-08-25
"G2020073101002",2020-07-31,2020-09-01,"Japan","2790:JP",1861,"live",NA,NA,NA,2020-08-25
"G2020080301001",2020-08-03,2020-09-01,"Hong Kong","1432:HK",0.54,"live",NA,0.8,0.481481481481481,2020-08-25
"G2020080301002",2020-08-03,2020-09-01,"Hong Kong","317:HK",11.5,"live",NA,NA,NA,2020-08-25
"G2020080301003",2020-08-03,2020-09-01,"Hong Kong","3323:HK",12.5,"live",NA,NA,NA,2020-08-25
"G2020080301004",2020-08-03,2020-09-02,"Japan","2790:JP",2107,"live",NA,NA,NA,2020-08-25
"G2020080401001",2020-08-04,2020-09-02,"Hong Kong","1432:HK",0.88,"live",NA,0.8,-0.0909090909090908,2020-08-25
"G2020080401002",2020-08-04,2020-09-02,"Hong Kong","317:HK",10.5,"live",NA,NA,NA,2020-08-25
"G2020080401003",2020-08-04,2020-09-03,"Japan","2790:JP",2175,"live",NA,NA,NA,2020-08-25
"G2020080501001",2020-08-05,2020-09-03,"Hong Kong","1432:HK",0.8,"live",NA,0.8,0,2020-08-25
"G2020080501002",2020-08-05,2020-09-03,"Hong Kong","317:HK",10.92,"live",NA,NA,NA,2020-08-25
"G2020080501003",2020-08-05,2020-09-04,"Japan","2790:JP",2083,"live",NA,NA,NA,2020-08-25
"G2020080501004",2020-08-05,2020-09-04,"Japan","3096:JP",1322,"live",NA,NA,NA,2020-08-25
"G2020080501005",2020-08-05,2020-09-04,"Japan","3542:JP",3860,"live",NA,3725,-0.0349740932642487,2020-08-25
"G2020080601001",2020-08-06,2020-09-04,"Hong Kong","1432:HK",0.85,"live",NA,0.8,-0.0588235294117646,2020-08-25
"G2020080601002",2020-08-06,2020-09-04,"Hong Kong","373:HK",68,"live",NA,75.099998,0.104411735294118,2020-08-25
"G2020080601003",2020-08-06,2020-09-07,"Japan","2790:JP",2097,"live",NA,NA,NA,2020-08-25
"G2020080601004",2020-08-06,2020-09-07,"Japan","3096:JP",1365,"live",NA,NA,NA,2020-08-25
"G2020080601005",2020-08-06,2020-09-07,"Japan","3542:JP",3540,"live",NA,3725,0.0522598870056497,2020-08-25
"G2020080701001",2020-08-07,2020-09-07,"Hong Kong","1432:HK",0.89,"live",NA,0.8,-0.101123595505618,2020-08-25
"G2020080701002",2020-08-07,2020-09-07,"Hong Kong","373:HK",70.7,"live",NA,75.099998,0.0622347666195191,2020-08-25
"G2020080701003",2020-08-07,2020-09-08,"Japan","2790:JP",2014,"live",NA,NA,NA,2020-08-25
"G2020080701004",2020-08-07,2020-09-08,"Japan","3542:JP",3080,"live",NA,3725,0.209415584415584,2020-08-25
"G2020081001001",2020-08-10,2020-09-08,"Hong Kong","1432:HK",0.84,"live",NA,0.8,-0.0476190476190476,2020-08-25
"G2020081001002",2020-08-10,2020-09-08,"Hong Kong","3323:HK",13,"live",NA,NA,NA,2020-08-25
"G2020081001003",2020-08-10,2020-09-08,"Hong Kong","373:HK",71,"live",NA,75.099998,0.0577464507042253,2020-08-25
"G2020081101001",2020-08-11,2020-09-09,"Hong Kong","1432:HK",0.72,"live",NA,0.8,0.111111111111111,2020-08-25
"G2020081101002",2020-08-11,2020-09-09,"Hong Kong","3323:HK",12.76,"live",NA,NA,NA,2020-08-25
"G2020081101003",2020-08-11,2020-09-09,"Hong Kong","373:HK",71,"live",NA,75.099998,0.0577464507042253,2020-08-25
"G2020081101004",2020-08-11,2020-09-09,"Japan","3542:JP",3110,"live",NA,3725,0.197749196141479,2020-08-25
